frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
106,3.53,F2,1,1,41.0,80.0,12.73,38.18,1051.9,245.51,135.0,,-8.13,-4.95,39.3,406.0,41.0
107,3.57,F2,1,1,49.0,72.0,11.31,33.94,1063.2,-127.28,135.0,,0.0,8.13,39.3,406.0,49.0
108,3.6,F2,1,1,58.0,64.0,12.04,36.12,1075.2,65.51,131.6,,-3.37,-3.37,35.9,409.4,58.0
109,3.63,F2,1,1,66.0,58.0,10.0,30.0,1085.2,-183.74,126.9,,-4.76,-1.4,31.2,414.2,58.0
110,3.67,F2,1,1,75.0,52.0,10.82,32.45,1096.0,73.5,123.7,,-3.18,1.58,28.0,417.3,52.0
111,3.7,F2,1,1,84.0,47.0,10.3,30.89,1106.3,-46.89,119.1,,-4.64,-1.46,23.3,422.0,47.0
112,3.73,F2,1,1,94.0,43.0,10.77,32.31,1117.1,42.72,111.8,,-7.25,-2.62,16.1,429.2,43.0
113,3.77,F2,1,1,103.0,40.0,9.49,28.46,1126.6,-115.51,108.4,,-3.37,3.89,12.7,432.6,40.0
114,3.8,F2,1,1,112.0,38.0,9.22,27.66,1135.8,-24.06,102.5,,-5.91,-2.54,6.8,438.5,38.0
115,3.83,F2,1,1,122.0,36.0,10.2,30.59,1146.0,88.06,101.3,,-1.22,4.69,5.6,439.7,36.0
116,3.87,F2,1,1,131.0,35.0,9.06,27.17,1155.1,-102.84,96.3,,-4.97,-3.75,0.6,444.7,35.0
117,3.9,F2,1,1,140.0,35.0,9.0,27.0,1164.1,-4.98,90.0,,-6.34,-1.37,-5.7,451.0,35.0
118,3.93,F2,1,1,150.0,35.0,10.0,30.0,1174.1,90.0,90.0,,0.0,6.34,-5.7,451.0,35.0
119,3.97,F2,1,1,159.0,36.0,9.06,27.17,1183.1,-85.02,83.7,,-6.34,-6.34,-12.1,457.4,36.0
120,4.0,F2,1,1,168.0,38.0,9.22,27.66,1192.3,14.77,77.5,,-6.19,0.15,-18.2,463.6,38.0
121,4.03,F2,1,1,177.0,40.0,9.22,27.66,1201.6,0.0,77.5,,0.0,6.19,-18.2,463.6,40.0
122,4.07,F2,1,1,186.0,43.0,9.49,28.46,1211.0,24.06,71.6,,-5.91,-5.91,-24.1,469.5,43.0
123,4.1,F2,1,1,195.0,46.0,9.49,28.46,1220.5,0.0,71.6,,0.0,5.91,-24.1,469.5,46.0
124,4.13,F2,1,1,204.0,50.0,9.85,29.55,1230.4,32.58,66.0,,-5.53,-5.53,-29.7,475.0,50.0
125,4.17,F2,1,1,212.0,54.0,8.94,26.83,1239.3,-81.41,63.4,,-2.6,2.92,-32.3,477.6,54.0
126,4.2,F2,1,1,220.0,59.0,9.43,28.3,1248.8,44.07,58.0,,-5.44,-2.84,-37.7,483.0,59.0
127,4.23,F2,1,1,228.0,65.0,10.0,30.0,1258.8,50.94,53.1,,-4.86,0.58,-42.6,487.9,65.0
128,4.27,F2,1,1,236.0,71.0,10.0,30.0,1268.8,0.0,53.1,,0.0,4.86,-42.6,487.9,71.0
129,4.3,F2,1,1,243.0,77.0,9.22,27.66,1278.0,-70.24,49.4,,-3.73,-3.73,-46.3,491.6,77.0
130,4.33,F2,1,1,250.0,83.0,9.22,27.66,1287.2,0.0,49.4,,0.0,3.73,-46.3,491.6,83.0
131,4.37,F2,1,1,256.0,90.0,9.22,27.66,1296.4,0.0,40.6,,-8.8,-8.8,-55.1,500.4,90.0
132,4.4,F2,1,1,262.0,98.0,10.0,30.0,1306.4,70.24,36.9,,-3.73,5.07,-58.8,504.2,98.0
133,4.43,F2,1,1,268.0,105.0,9.22,27.66,1315.6,-70.24,40.6,,3.73,7.46,-55.1,507.9,105.0
134,4.47,F2,1,1,274.0,113.0,10.0,30.0,1325.6,70.24,36.9,,-3.73,-7.46,-58.8,511.6,113.0
135,4.5,F2,1,1,278.0,121.0,8.94,26.83,1334.6,-95.02,26.6,,-10.3,-6.57,-69.1,521.9,121.0
136,4.53,F2,1,1,283.0,130.0,10.3,30.89,1344.9,121.62,29.1,,2.49,12.79,-66.7,524.4,130.0
137,4.57,F2,1,1,287.0,139.0,9.85,29.55,1354.7,-40.21,24.0,,-5.09,-7.58,-71.7,529.5,139.0
138,4.6,F2,1,1,290.0,148.0,9.49,28.46,1364.2,-32.58,18.4,,-5.53,-0.44,-77.3,535.0,148.0
139,4.63,F2,1,1,293.0,157.0,9.49,28.46,1373.7,0.0,18.4,,0.0,5.53,-77.3,535.0,157.0
140,4.67,F2,1,1,295.0,166.0,9.22,27.66,1382.9,-24.06,12.5,,-5.91,-5.91,-83.2,540.9,166.0
141,4.7,F2,1,1,296.0,175.0,9.06,27.17,1392.0,-14.77,6.3,,-6.19,-0.28,-89.4,547.1,175.0
142,4.73,F2,1,1,297.0,185.0,10.05,30.15,1402.0,89.5,5.7,,-0.63,5.56,-90.0,547.8,174.0
143,4.77,F2,1,1,298.0,195.0,10.05,30.15,1412.1,0.0,5.7,,0.0,0.63,-90.0,547.8,173.0
144,4.8,F2,1,1,297.0,204.0,9.06,27.17,1421.1,-89.5,-6.3,,-12.05,-12.05,-102.1,559.8,174.0
145,4.83,F2,1,1,296.0,214.0,10.05,30.15,1431.2,89.5,-5.7,,0.63,12.68,-101.4,560.4,175.0
146,4.87,F2,1,1,294.0,224.0,10.2,30.59,1441.4,13.33,-11.3,,-5.6,-6.23,-107.0,566.0,177.0
147,4.9,F2,1,1,292.0,234.0,10.2,30.59,1451.6,0.0,-11.3,,0.0,5.6,-107.0,566.0,179.0
148,4.93,F2,1,1,288.0,243.0,9.85,29.55,1461.4,-31.43,-24.0,,-12.65,-12.65,-119.7,578.7,183.0
149,4.97,F2,1,1,284.0,253.0,10.77,32.31,1472.2,82.93,-21.8,,2.16,14.81,-117.5,580.9,187.0
150,5.0,F2,1,1,279.0,263.0,11.18,33.54,1483.4,36.9,-26.6,,-4.76,-6.92,-122.3,585.6,192.0
151,5.03,F2,1,1,273.0,272.0,10.82,32.45,1494.2,-32.73,-33.7,,-7.12,-2.36,-129.4,592.7,197.0
152,5.07,F2,1,1,266.0,282.0,12.21,36.62,1506.4,125.09,-35.0,,-1.3,5.82,-130.7,594.0,187.0
