frame,id,area,com,icom,consmerged
54,3,265,"(866, 622)","(866, 622)",0
54,4,230,"(1025, 699)","(1025, 699)",0
54,5,222,"(1062, 684)","(1062, 684)",0
55,0,333,"(928, 461)","(928, 461)",0
55,1,320,"(1145, 704)","(1145, 704)",0
55,2,283,"(983, 852)","(983, 852)",0
55,3,265,"(864, 620)","(864, 620)",0
55,4,229,"(1030, 698)","(1030, 698)",0
55,5,220,"(1063, 679)","(1063, 679)",0
56,0,332,"(925, 460)","(925, 460)",0
56,1,323,"(1149, 703)","(1149, 703)",0
56,2,283,"(990, 849)","(990, 849)",0
56,3,262,"(861, 619)","(861, 619)",0
56,4,228,"(1034, 698)","(1034, 698)",0
56,5,219,"(1064, 675)","(1064, 675)",0
57,0,332,"(922, 459)","(922, 459)",0
57,1,320,"(1154, 702)","(1154, 702)",0
57,2,282,"(996, 846)","(996, 846)",0
57,3,265,"(858, 617)","(858, 617)",0
57,4,223,"(1039, 697)","(1039, 697)",0
57,5,223,"(1065, 670)","(1065, 670)",0
58,0,335,"(919, 458)","(919, 458)",0
58,1,321,"(1158, 700)","(1158, 700)",0
58,2,281,"(1003, 842)","(1003, 842)",0
58,3,261,"(855, 616)","(855, 616)",0
58,4,225,"(1044, 697)","(1044, 697)",0
58,5,220,"(1066, 665)","(1066, 665)",0
59,0,334,"(916, 457)","(916, 457)",0
59,1,323,"(1162, 699)","(1162, 699)",0
59,2,283,"(1009, 839)","(1009, 839)",0
59,3,265,"(851, 615)","(851, 615)",0
59,4,229,"(1048, 697)","(1048, 697)",0
59,5,223,"(1067, 660)","(1067, 660)",0
60,0,332,"(913, 456)","(913, 456)",0
60,1,322,"(1166, 697)","(1166, 697)",0
60,2,281,"(1015, 835)","(1015, 835)",0
60,3,261,"(847, 614)","(847, 614)",0
60,4,225,"(1053, 696)","(1053, 696)",0
60,5,220,"(1068, 655)","(1068, 655)",0
61,0,326,"(909, 456)","(909, 456)",0
61,1,320,"(1170, 695)","(1170, 695)",0
61,2,282,"(1020, 832)","(1020, 832)",0
61,3,263,"(843, 614)","(843, 614)",0
61,4,227,"(1057, 695)","(1057, 695)",0
61,5,225,"(1069, 651)","(1069, 651)",0
62,0,331,"(906, 455)","(906, 455)",0
62,1,319,"(1174, 693)","(1174, 693)",0
62,2,285,"(1026, 828)","(1026, 828)",0
62,3,260,"(840, 614)","(840, 614)",0
62,4,227,"(1062, 695)","(1062, 695)",0
62,5,223,"(1069, 646)","(1069, 646)",0
63,0,332,"(903, 455)","(903, 455)",0
63,1,320,"(1178, 691)","(1178, 691)",0
63,2,280,"(1031, 824)","(1031, 824)",0
63,3,263,"(836, 615)","(836, 615)",0
63,4,228,"(1066, 694)","(1066, 694)",0
63,5,223,"(1069, 641)","(1069, 641)",0
64,0,334,"(900, 455)","(900, 455)",0
64,1,321,"(1181, 688)","(1181, 688)",0
64,2,282,"(1037, 820)","(1037, 820)",0
64,3,266,"(832, 616)","(832, 616)",0
64,4,227,"(1071, 693)","(1071, 693)",0
64,5,220,"(1069, 636)","(1069, 636)",0
65,0,333,"(896, 455)","(896, 455)",0
65,1,320,"(1185, 686)","(1185, 686)",0
65,2,281,"(1042, 816)","(1042, 816)",0
65,3,266,"(828, 617)","(828, 617)",0
65,4,231,"(1075, 692)","(1075, 692)",0
65,5,223,"(1069, 631)","(1069, 631)",0
66,0,332,"(893, 456)","(893, 456)",0
66,1,323,"(1188, 683)","(1188, 683)",0
66,2,282,"(1048, 812)","(1048, 812)",0
